Team,Rd64,Rd32,Rd16,Rd8,Rd4,Final
Akron,7.2,1.76,0.49,0.18,0.08,0.04
Alabama,87.5,55.8,13.77,5.15,1.39,0.54
Arizona,95.79,85.61,60.55,31.34,10.49,5.01
Auburn,90.38,65.08,12.65,7.81,3.88,1.83
BSU/COLO,13.76,2.04,0.46,0.14,0.06,0.03
BYU,75.52,22.22,7.72,1.47,0.32,0.14
Baylor,93,65.48,25.44,10.58,2.89,0.92
Charleston,12.02,3.02,0.52,0.19,0.08,0.03
Clemson,50.2,14.83,5.09,1.37,0.47,0.18
Colgate,6.53,1.97,0.67,0.33,0.08,0.03
Colorado,24.86,3.93,0.85,0.26,0.1,0.05
Colorado St.,24.3,3.46,0.9,0.27,0.11,0.05
Connecticut,98.48,93.82,79.89,66.14,50.2,34.75
Creighton,92.23,68.77,30.5,13.4,4.49,1.36
Dayton,44.3,6.72,2.1,0.56,0.17,0.07
Drake,58.23,8.87,2.52,0.39,0.16,0.07
Duke,91.75,61.08,18.84,8.19,3.89,1.55
Duquesne,24.27,4.05,0.9,0.22,0.09,0.04
Florida,74.55,19.73,6.06,1.62,0.63,0.27
Florida Atlantic,55.6,2.44,1.06,0.49,0.2,0.09
Gonzaga,80.59,44.63,13.98,6.28,2.62,1.09
Grambling St.,1.77,0.69,0.33,0.18,0.08,0.03
Grand Canyon,26.45,7.94,1.06,0.36,0.11,0.05
HOW/WAG,0.55,0.24,0.12,0.07,0.03,0.01
Houston,97.42,86.31,67.05,45.99,30.32,12.48
Illinois,92.45,70.88,35.54,7.87,3.81,1.65
Iowa St.,95.79,80.99,49.49,11.96,6.28,2.9
James Madison,33.64,10.61,1.53,0.54,0.22,0.11
Kansas,81.81,41.85,14.32,7.43,3.49,1.62
Kentucky,95.29,74.54,49.19,22.14,11,4.07
Long Beach St.,3.78,1.64,0.63,0.24,0.11,0.05
Longwood,2.2,0.84,0.38,0.21,0.1,0.05
MTST/GRAM,1.03,0.4,0.2,0.11,0.04,0.02
Marquette,94.12,73.73,33.67,13.4,5.77,1.95
McNeese St.,18.84,9.66,1.53,0.42,0.14,0.07
Michigan St.,65.05,8.58,4.12,1.56,0.62,0.32
Mississippi St.,34.47,3.87,1.58,0.5,0.14,0.06
Morehead St.,7.38,2.7,0.63,0.18,0.08,0.03
North Carolina,98,86.46,71.11,43.6,15.91,9.15
N.C. State,43.31,10.78,3.93,1.28,0.56,0.27
Nebraska,50.31,6.19,1.88,0.7,0.29,0.15
Nevada,55.18,5.63,1.63,0.39,0.11,0.05
New Mexico,49.31,17.31,3.49,0.87,0.18,0.08
Northwestern,44.21,2.98,1.05,0.42,0.17,0.07
Oakland,4.26,1.42,0.47,0.19,0.08,0.04
Oregon,48.75,14.84,3.71,1.05,0.38,0.17
Purdue,97.73,88.85,65.43,43.11,21.98,10.37
South Dakota St.,4.06,1.44,0.54,0.18,0.08,0.03
San Diego St.,78.84,27.27,3.69,1.49,0.62,0.31
Samford,17.61,3.36,0.67,0.26,0.1,0.04
South Carolina,50.64,14.13,4.07,1.11,0.38,0.16
Saint Mary's,73.06,32.81,7.12,2.42,0.59,0.2
Saint Peter's,4.29,1.69,0.65,0.24,0.11,0.05
Stetson,1.48,0.64,0.32,0.18,0.09,0.04
TCU,57.98,6.11,1.85,0.49,0.17,0.08
Tennessee,95.18,79.36,52.36,22.58,10,3.51
Texas,75.07,15,6.85,2.18,0.88,0.51
Texas A&M,49.19,6.27,2.05,0.68,0.25,0.11
Texas Tech,56.18,12.84,4.91,1.07,0.37,0.16
UAB,20.97,3.82,0.56,0.24,0.11,0.05
UVA/CSU,0,0.82,0.24,0.08,0.04,0.02
Utah St.,41.4,3.87,1.44,0.4,0.14,0.05
Vermont,7.79,1.9,0.49,0.19,0.08,0.04
Western Kentucky,5.43,2.14,0.47,0.17,0.07,0.03
Wagner,1.62,0.69,0.35,0.19,0.08,0.04
Washington St.,41.54,8.55,2.5,0.51,0.21,0.1
Wisconsin,65.88,25.99,7.41,3.01,1.07,0.45
Yale,9.46,3.66,0.69,0.37,0.24,0.15
